,cuisines,dishTypes,spoonScore,Vegan,Vegetarian,ImageURL,Title,SourceURL,readyInMinutes,PricePerServing,Summary,equipment
282732,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",8,FALSE,FALSE,https://spoonacular.com/recipeImages/282732-556x370.jpg,Apple Raisin Graham Pudding,http://www.Kraftrecipes.com/recipes/apple-raisin-graham-pudding-54108.aspx,55,8.48,"Apple Raisin Graham Pudding might be just the dessert you are searching for. This recipe serves 55. For 8 cents per serving, this recipe covers 1% of your daily requirements of vitamins ","['oven', 'baking pan', 'whisk', 'aluminum foil']"
227652,[],['side dish'],33,FALSE,FALSE,https://spoonacular.com/recipeImages/227652-556x370.jpg,Baked Pickle Chips,http://www.myrecipes.com/recipe/baked-pickle-chips-50400000132745/,45,46.84,"Baked Pickle Chips is a dairy free side dish. One portion of this dish contains approximately 3g of protein, 0g of fat, and a total of 52 calories. This recipe serves 4 and","['oven', 'frying pan', 'baking sheet', 'paper towels']"
22926,"['Japanese', 'Asian']",['salad'],88,TRUE,TRUE,https://spoonacular.com/recipeImages/22926-556x370.jpg,Japanese Cucumber Salad,http://www.williams-sonoma.com/recipe/japanese-cucumber-salad.html,25,87.16,The recipe Japanese Cucumber Salad is ready in about 25 minutes and is definitely a great gluten free and vegan option for lovers of Japanese food. This recipe serves 4. This side dish h,
19503,"['Mediterranean', 'Italian', 'European']",[],92,TRUE,TRUE,https://spoonacular.com/recipeImages/19503-556x370.jpg,Lemon Risotto W/ Spinach & Pistachio,http://www.veggienumnum.com/2010/03/lemon-risotto/,38,336.59,The recipe Lemon Risotto W/ Spinach & Pistachio is ready in roughly 38 minutes and is definitely a super gluten free and vegan option for lovers of Mediterranean food. This recipe serves,
33566,"['Indian', 'Asian']","['lunch', 'main course', 'main dish', 'dinner']",91,TRUE,TRUE,https://spoonacular.com/recipeImages/33566-556x370.jpg,Cauliflower Curry,http://www.recipezaar.com/Cauliflower-Curry-283560,30,842.89,"Cauliflower Curry might be just the Indian recipe you are searching for. This caveman, gluten free, primal, and vegan recipe serves 1 and costs $8.43 per serving. One portion of this dis",
175164,['Mexican'],['salad'],55,FALSE,FALSE,https://spoonacular.com/recipeImages/175164-556x370.jpg,Roasted Potato Chicken Salad with Salsa Verde,http://www.BettyCrocker.com/recipes/roasted-potato-chicken-salad-with-salsa-verde/2def5510-3f42-4091-aeb6-d9fe1f3839d9,15,94.66,"Roasted Potato Chicken Salad with Salsa Verde might be just the main course you are searching for. One serving contains 246 calories, 19g of protein, and 8g of fat. This recipe se",['bowl']
242095,[],['side dish'],81,FALSE,FALSE,https://spoonacular.com/recipeImages/242095-556x370.jpg,Rainbow Trout with Seared Sugar Snaps,http://www.myrecipes.com/recipe/rainbow-trout-sugar-snaps-50400000126819/,11,133.15,"For $1.33 per serving, this recipe covers 15% of your daily requirements of vitamins and minerals. This recipe makes 4 servings with 134 calories, 3g of protein, and 9g ","['broiler', 'baking sheet', 'frying pan', 'bowl']"
257700,"['Mediterranean', 'European', 'Greek']","['lunch', 'main course', 'main dish', 'dinner']",40,FALSE,FALSE,https://spoonacular.com/recipeImages/257700-556x370.jpg,Gyros,http://www.myrecipes.com/recipe/gyros-10000001809060/,45,248.18,"Gyros might be just the main course you are searching for. One serving contains 416 calories, 23g of protein, and 19g of fat. This recipe serves 4 and costs $2.45 per serving. Thi","['broiler', 'broiler pan', 'paper towels']"
167816,"['Mediterranean', 'Italian', 'European']","['lunch', 'main course', 'main dish', 'dinner']",57,FALSE,FALSE,https://spoonacular.com/recipeImages/167816-556x370.jpg,Italian Shrimp Stir-Fry,https://www.bettycrocker.com/recipes/italian-shrimp-stir-fry/4f32e208-84f9-4b53-88aa-442f8957c9bc,45,244.48,"Italian Shrimp Stir-Fry might be just the main course you are searching for. For $2.44 per serving, this recipe covers 24% of your daily requirements of vitamins and minerals. Watching y",['frying pan']
40911,[],['side dish'],31,FALSE,TRUE,https://spoonacular.com/recipeImages/40911-556x370.jpg,Rainbow Carrots,http://theprimitivefoodie.blogspot.com/2012/04/rainbow-carrots.html,45,48.04,"Rainbow Carrots might be just the side dish you are searching for. This gluten free, primal, and vegetarian recipe serves 1 and costs 48 cents per serving. One serving contains 235 calories<",
276147,"['Mediterranean', 'European', 'Greek']","['lunch', 'main course', 'main dish', 'dinner']",91,FALSE,TRUE,https://spoonacular.com/recipeImages/276147-556x370.jpg,Greek Pasta with Tomatoes and White Beans,http://allrecipes.com/recipe/greek-pasta-with-tomatoes-and-white-beans/detail.aspx,25,169.36,"Greek Pasta with Tomatoes and White Beans requires approximately 25 minutes from start to finish. One serving contains 465 calories, 23g of protein, and 6g of fat. This rec","['pot', 'frying pan']"
167813,"['Central American', 'Caribbean']","['lunch', 'main course', 'main dish', 'dinner']",83,FALSE,FALSE,https://spoonacular.com/recipeImages/167813-556x370.jpg,Caribbean Chicken and Pineapple Salsa,https://www.bettycrocker.com/recipes/caribbean-chicken-and-pineapple-salsa/fc183bb5-2f5b-4f8f-bdb8-c4dbb60b7814,30,174.25,"Caribbean Chicken and Pineapple Salsa might be just the hor d'oeuvre you are searching for. One serving contains 276 calories, 34g of protein, and 6g of fat. This recipe serves 4.","['baking sheet', 'oven', 'food processor', 'meat tenderizer', 'ziploc bags', 'rolling pin', 'bowl']"
